EmployeeID,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
19,Medium,Excellent,Medium,Medium,Good,No,35,Travel_Rarely,Sales,7,Master,Life Sciences,Male,1,Sales Representative,Divorced,24380,7,Y,16,0,10,5,7,6,2
20,High,Excellent,Low,Low,Better,No,38,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,Female,1,Manager,Divorced,68700,1,Y,11,1,8,5,8,7,7
21,High,Excellent,High,Medium,Bad,No,26,Travel_Frequently,Research & Development,1,Master,Other,Male,2,Laboratory Technician,Divorced,104470,1,Y,18,0,6,3,6,1,4
22,Medium,Outstanding,Low,Medium,Good,No,50,Travel_Rarely,Sales,8,Master,Life Sciences,Male,1,Research Scientist,Divorced,96670,3,Y,23,0,28,2,10,1,6
23,High,Excellent,High,High,Good,No,53,Travel_Rarely,Research & Development,11,Master,Life Sciences,Female,2,Research Scientist,Married,21480,3,Y,11,0,21,2,5,1,3
24,Low,Excellent,Medium,High,Better,No,42,Travel_Rarely,Research & Development,4,Master,Life Sciences,Male,1,Manufacturing Director,Married,89260,1,Y,14,0,,4,20,11,6
25,High,Excellent,Medium,Very High,Good,No,29,Travel_Frequently,Research & Development,16,Master,Medical,Male,1,Laboratory Technician,Single,65130,1,Y,11,1,10,2,10,0,9
26,High,Excellent,Medium,Very High,Better,No,55,Travel_Rarely,Research & Development,1,Master,Other,Female,1,Research Scientist,Married,67990,3,Y,11,0,12,2,10,0,8
27,High,Outstanding,Low,Low,Better,No,26,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,Female,1,Manager,Married,162910,1,Y,22,0,5,3,5,3,3
28,High,Excellent,Very High,Very High,Better,No,37,Travel_Rarely,Sales,5,Below College,Marketing,Male,1,Research Scientist,Single,27050,1,Y,11,0,17,2,17,5,7
29,Medium,Excellent,Very High,High,Bad,Yes,44,Travel_Frequently,Research & Development,1,College,Medical,Male,2,Research Scientist,Divorced,103330,3,Y,14,1,19,2,1,0,0
30,Medium,Excellent,Very High,Very High,Better,No,38,Travel_Rarely,Sales,2,Bachelor,Marketing,Female,1,Manager,Divorced,44480,9,Y,12,0,10,3,2,1,2
31,Medium,Excellent,Low,Medium,Better,Yes,26,Travel_Rarely,Research & Development,4,Bachelor,Medical,Male,3,Research Scientist,Divorced,68540,2,Y,11,0,5,5,3,0,2
32,Medium,Excellent,Very High,Very High,Better,No,28,Travel_Rarely,Research & Development,7,Bachelor,Other,Male,1,Human Resources,Single,96370,1,Y,13,0,5,6,5,0,2
33,High,Excellent,High,Low,Better,No,49,Travel_Frequently,Research & Development,1,Below College,Medical,Female,2,Research Scientist,Single,35910,9,Y,13,0,22,2,3,1,2
34,High,Excellent,High,Medium,Better,No,36,Travel_Rarely,Sales,5,Bachelor,Technical Degree,Male,3,Sales Executive,Single,54050,4,Y,14,0,10,2,8,7,7
35,High,Excellent,Very High,Medium,Good,No,31,Travel_Frequently,Research & Development,9,Master,Medical,Male,1,Sales Executive,Divorced,46840,1,Y,16,1,2,4,2,2,2
36,High,Excellent,Very High,Very High,Better,Yes,26,Travel_Rarely,Research & Development,8,Bachelor,Medical,Male,2,Manager,Single,157870,1,Y,12,2,8,5,8,7,4
37,High,Excellent,Medium,Very High,Good,No,37,Travel_Frequently,Sales,9,Below College,Marketing,Male,1,Laboratory Technician,Married,15140,1,Y,14,0,4,3,4,1,2
38,High,Excellent,High,Medium,Best,No,42,Travel_Frequently,Sales,2,College,Marketing,Male,3,Research Director,Married,29560,5,Y,13,0,23,2,20,4,8
39,Medium,Excellent,High,High,Better,Yes,18,Travel_Rarely,Research & Development,1,Master,Life Sciences,Male,1,Sales Executive,Single,23350,1,Y,14,2,0,3,0,0,0
40,Medium,Excellent,High,Medium,Good,No,35,Travel_Rarely,Sales,20,College,Life Sciences,Male,1,Laboratory Technician,Married,51540,0,Y,19,0,12,2,11,6,9
41,Medium,Excellent,High,,Better,No,36,Travel_Frequently,Research & Development,8,Bachelor,Other,Female,3,Sales Executive,Married,69620,4,Y,12,2,4,2,1,0,0
42,Medium,Excellent,Very High,Medium,Better,No,51,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5,Y,13,0,13,2,4,1,2
43,High,Excellent,Very High,Medium,Better,No,41,Travel_Rarely,Research & Development,29,Below College,Life Sciences,Male,1,Laboratory Technician,Single,23790,1,Y,12,0,22,6,22,0,4
44,High,Excellent,Very High,High,Better,No,18,Travel_Rarely,Sales,7,Bachelor,Life Sciences,Male,1,Research Scientist,Single,38120,1,Y,15,0,0,3,0,0,0
45,Medium,Outstanding,Medium,Low,Better,No,28,Travel_Rarely,Research & Development,9,Bachelor,Medical,Male,1,Sales Representative,Single,46480,0,Y,23,2,9,2,8,0,7
46,High,Excellent,Medium,Very High,Good,No,31,Travel_Rarely,Research & Development,8,Below College,Technical Degree,Male,1,Manufacturing Director,Married,29360,4,Y,12,1,10,2,8,7,7
47,High,Outstanding,High,Very High,Good,No,39,Travel_Rarely,Sales,5,Master,Marketing,Female,2,Human Resources,Divorced,21050,0,Y,20,0,19,3,18,3,7
48,High,Outstanding,Medium,Medium,Better,No,36,Non-Travel,Research & Development,5,Master,Life Sciences,Male,1,Sales Executive,Married,85780,7,Y,21,0,11,4,9,0,8
49,High,Outstanding,Very High,High,Good,No,32,Travel_Rarely,Sales,2,Bachelor,Marketing,Male,2,Laboratory Technician,Married,27060,1,Y,21,1,13,4,13,4,8
50,Medium,Excellent,Low,Medium,Better,No,38,Travel_Rarely,Research & Development,5,College,Life Sciences,Female,3,Research Scientist,Married,63840,3,Y,19,2,19,4,10,0,1
51,Medium,Excellent,Very High,High,Better,No,58,Non-Travel,Research & Development,2,Bachelor,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2,Y,13,2,12,3,5,1,2
52,Medium,Excellent,High,Very High,Better,No,31,Travel_Rarely,Research & Development,20,Below College,Technical Degree,Female,3,Research Scientist,Married,99070,0,Y,13,1,6,3,5,0,3
53,High,Outstanding,Low,Low,Better,No,31,Travel_Rarely,Sales,7,Master,Marketing,Male,2,Sales Executive,Married,132250,3,Y,21,1,9,2,2,1,0
54,High,Excellent,Low,Low,Better,No,45,Travel_Frequently,Research & Development,3,Below College,Medical,Female,1,Sales Executive,Divorced,35400,1,Y,13,0,24,6,24,9,11
55,High,Excellent,High,Very High,Bad,No,31,Travel_Rarely,Sales,16,Master,Marketing,Female,2,Research Scientist,Divorced,28040,0,Y,19,2,3,0,2,2,2
56,High,Excellent,Very High,Medium,Better,No,33,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,Male,4,Research Director,Married,193920,6,Y,12,1,12,3,10,8,8
57,High,Outstanding,High,Low,Better,No,39,Travel_Rarely,Sales,1,Master,Life Sciences,Male,1,Sales Executive,Married,196650,1,Y,22,1,21,6,21,11,10
58,High,Excellent,High,Very High,Better,No,43,Travel_Frequently,Research & Development,7,Master,Medical,Male,4,Research Scientist,Single,24390,0,Y,15,0,9,2,8,1,7
59,High,Outstanding,High,High,Better,No,49,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,3,Manufacturing Director,Single,73140,7,Y,22,0,25,2,7,0,7
60,High,Excellent,High,Medium,Good,Yes,52,Travel_Rarely,Research & Development,7,Below College,Life Sciences,Female,2,Research Scientist,Married,47740,2,Y,18,1,11,2,8,7,7
61,High,Outstanding,High,Medium,Good,No,27,Travel_Rarely,Research & Development,15,Master,Medical,Male,3,Research Scientist,Single,39020,1,Y,22,0,4,2,4,1,2
62,Very High,Excellent,High,Medium,Better,No,32,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,3,Research Scientist,Married,26620,1,Y,11,1,13,6,13,11,9
63,Very High,Excellent,Very High,High,Better,No,27,Travel_Rarely,Research & Development,13,College,Medical,Female,4,Research Director,Single,28560,1,Y,12,2,5,5,5,0,4
64,Very High,Excellent,Very High,Very High,Better,No,31,Travel_Rarely,Sales,24,Bachelor,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4,Y,11,3,13,4,7,1,7
65,High,Excellent,Low,Very High,Good,No,32,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,Male,2,Healthcare Representative,Single,24720,7,Y,13,0,10,2,7,0,7
66,Medium,Excellent,Low,Very High,Good,Yes,28,Travel_Rarely,Research & Development,9,Master,Medical,Male,1,Sales Executive,Married,56730,5,Y,14,1,5,4,3,2,2
67,High,Excellent,Very High,Very High,Better,No,30,Travel_Rarely,Research & Development,13,Bachelor,Life Sciences,Female,4,Research Director,Married,41970,1,Y,13,0,11,3,10,1,9
68,Medium,Excellent,High,High,Better,No,31,Travel_Frequently,Research & Development,2,Below College,Life Sciences,Female,1,Manager,Married,97130,1,Y,17,0,10,5,10,8,9
69,High,Excellent,High,Very High,Better,No,39,Travel_Frequently,Research & Development,19,Master,Medical,Female,1,Research Scientist,Married,20620,1,Y,13,0,21,4,21,13,3
70,High,Excellent,Very High,High,Good,Yes,39,Travel_Rarely,Research & Development,1,Below College,Medical,Female,1,Laboratory Technician,Married,42840,4,Y,17,1,12,0,1,0,0
71,High,Excellent,Medium,Very High,Good,No,33,Travel_Frequently,Sales,4,College,Life Sciences,Male,4,Research Scientist,Single,47880,3,Y,11,1,9,0,7,0,1
72,Very High,Outstanding,Very High,High,Better,No,47,Travel_Rarely,Research & Development,4,Bachelor,Life Sciences,Female,2,Healthcare Representative,Married,59060,4,Y,23,0,21,4,3,1,1
73,High,Excellent,High,High,Best,No,43,Travel_Frequently,Research & Development,14,Bachelor,Medical,Female,5,Research Director,Divorced,38860,1,Y,17,2,9,2,9,0,0
74,High,Excellent,High,Medium,Better,No,27,Non-Travel,Research & Development,2,Bachelor,Life Sciences,Male,1,Research Director,Married,168230,0,Y,17,0,6,3,5,1,4
75,High,Excellent,Very High,High,Good,No,54,Travel_Frequently,Research & Development,1,Master,Life Sciences,Male,2,Research Scientist,Single,29330,3,Y,12,2,20,2,4,0,3
76,High,Outstanding,High,Low,Good,No,43,Travel_Rarely,Research & Development,7,College,Life Sciences,Female,2,Manager,Married,65000,8,Y,23,0,10,3,1,0,0
77,High,Excellent,Very High,Very High,Better,No,45,Travel_Rarely,Sales,3,Below College,Marketing,Female,1,Sales Executive,Married,171740,9,Y,14,1,12,6,10,9,8
78,High,Excellent,Medium,Very High,Good,No,40,Travel_Rarely,Research & Development,2,Master,Other,Male,4,Research Scientist,Married,50330,2,Y,14,2,6,6,4,0,2
79,High,Excellent,Medium,Low,Good,Yes,29,Travel_Rarely,Research & Development,29,Bachelor,Medical,Female,1,Research Scientist,Married,23070,1,Y,13,1,7,0,7,0,7
80,High,Outstanding,Medium,Very High,Better,No,29,Travel_Rarely,Human Resources,8,Bachelor,Medical,Male,3,Sales Representative,Single,25870,0,Y,22,2,4,3,3,2,2
81,Medium,Excellent,Very High,High,Better,No,30,Travel_Rarely,Research & Development,10,Bachelor,Life Sciences,Male,2,Research Scientist,Divorced,55070,1,Y,12,2,10,2,10,1,2
82,Medium,Excellent,Medium,Medium,Better,No,27,Travel_Rarely,Research & Development,11,College,Medical,Male,1,Manager,Married,43930,1,Y,18,1,8,2,8,0,7
83,High,Excellent,Very High,Very High,Good,No,37,Travel_Rarely,Sales,1,Master,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7,Y,14,0,8,4,6,0,4
84,High,Excellent,High,Very High,Better,No,38,Travel_Rarely,Research & Development,28,Master,Medical,Male,1,Laboratory Technician,Divorced,65830,0,Y,12,0,12,1,11,2,9
85,High,Excellent,High,Very High,,No,31,Travel_Rarely,Research & Development,6,Bachelor,Medical,Female,3,Manager,Single,81030,1,Y,15,1,11,5,11,4,10
86,High,Excellent,Very High,Medium,Better,No,29,Travel_Rarely,Research & Development,3,Master,Life Sciences,Male,3,Sales Executive,Divorced,39780,1,Y,11,0,7,0,7,1,7
87,Very High,Excellent,High,Medium,Better,No,35,Travel_Rarely,Sales,16,College,Technical Degree,Male,3,Manager,Single,25440,0,Y,13,1,17,3,16,0,13
88,Medium,Outstanding,High,Very High,Good,No,23,Travel_Rarely,Research & Development,20,Master,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1,Y,23,0,4,2,4,0,2
89,High,Excellent,Very High,Medium,Better,No,41,Travel_Rarely,Research & Development,9,College,Life Sciences,Female,1,Laboratory Technician,Single,54870,6,Y,19,2,8,0,5,1,2
90,Very High,Excellent,Medium,High,Better,No,47,Travel_Frequently,Sales,1,Bachelor,Medical,Female,2,Laboratory Technician,Single,68340,3,Y,16,1,5,2,0,0,0
91,Low,Outstanding,Low,Very High,Better,No,42,Travel_Rarely,Research & Development,3,Master,Life Sciences,Male,1,Manager,Single,10910,2,Y,22,0,16,0,1,0,0
92,Medium,Outstanding,Very High,High,Good,No,29,Non-Travel,Sales,22,Master,Marketing,Male,2,Human Resources,Married,57360,1,Y,22,0,4,1,4,0,2
93,Medium,Excellent,High,High,Better,No,42,Travel_Rarely,Sales,7,Master,Medical,Male,3,Research Scientist,Divorced,22260,0,Y,12,1,4,3,3,1,0
94,High,Excellent,High,Medium,Better,No,32,Travel_Rarely,Research & Development,2,Bachelor,Medical,Male,2,Research Scientist,Married,57470,1,Y,13,0,8,0,8,0,7
95,Medium,Excellent,Low,High,Bad,No,48,Travel_Rarely,Sales,13,Master,Medical,Male,4,Sales Executive,Married,98540,3,Y,16,1,15,2,0,0,0
96,High,Excellent,High,Low,Better,No,37,Travel_Rarely,Research & Development,8,Doctor,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4,Y,12,0,13,2,7,6,7
97,High,Outstanding,Very High,High,Best,No,30,Non-Travel,Sales,25,Master,Other,Male,1,Healthcare Representative,Married,53800,7,Y,21,1,4,0,2,2,2
98,High,Excellent,High,High,Better,No,26,Travel_Rarely,Sales,28,Bachelor,Medical,Female,5,Laboratory Technician,Married,51510,1,Y,15,3,8,3,8,7,7
99,High,Excellent,Low,Very High,Better,No,42,Travel_Rarely,Sales,2,College,Medical,Female,1,Laboratory Technician,Single,21330,3,Y,13,2,14,2,1,0,0
100,Medium,Excellent,Low,Medium,Better,Yes,21,Travel_Frequently,Research & Development,9,Bachelor,Medical,Female,4,Manufacturing Director,Single,178750,1,Y,12,0,3,5,3,1,2
101,Low,Outstanding,Very High,Very High,Better,No,36,Non-Travel,Human Resources,28,Bachelor,Human Resources,Male,2,Laboratory Technician,Single,24320,4,Y,22,0,7,4,1,0,0
102,High,Excellent,Low,Very High,Better,No,36,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,Female,2,Research Scientist,Married,47710,4,Y,13,1,16,2,13,1,12
103,Low,Excellent,Very High,High,Better,No,57,Travel_Rarely,Research & Development,21,Master,Life Sciences,Male,5,Research Scientist,Married,191610,2,Y,18,0,15,2,3,1,2
104,High,Excellent,Very High,High,Better,No,40,Travel_Rarely,Research & Development,8,Bachelor,Other,Male,2,Sales Executive,Married,50870,3,Y,14,1,10,3,7,1,7
105,Low,Excellent,Low,Very High,Good,No,21,Non-Travel,Research & Development,1,Doctor,Life Sciences,Female,2,Manager,Single,28630,1,Y,14,0,3,2,3,2,2
106,Low,Outstanding,Very High,High,Better,Yes,33,Travel_Rarely,Human Resources,28,College,Human Resources,Female,5,Manager,Single,55610,1,Y,21,1,1,3,1,0,0
107,Very High,Excellent,High,Low,Better,No,37,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,Male,4,Research Scientist,Married,21440,6,Y,19,0,17,3,5,0,3
108,High,Excellent,High,High,Best,No,46,Non-Travel,Sales,2,Master,Marketing,Female,2,Laboratory Technician,Married,30650,2,Y,11,0,7,3,1,0,0
109,Very High,Excellent,Low,Medium,Better,Yes,41,Travel_Frequently,Research & Development,16,Below College,Medical,Female,1,Research Scientist,Single,28100,1,Y,11,0,8,3,8,7,7
110,High,Excellent,Very High,Very High,Better,No,50,Travel_Rarely,Research & Development,9,Bachelor,Medical,Female,3,Laboratory Technician,Single,98880,6,Y,15,0,20,2,4,1,3
111,Medium,Outstanding,High,High,Better,Yes,40,Travel_Rarely,Research & Development,8,Bachelor,Medical,Female,1,Healthcare Representative,Married,86280,2,Y,20,0,8,2,6,1,0
112,High,Outstanding,,Medium,Better,No,31,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,4,Human Resources,Single,28670,0,Y,24,0,3,5,2,2,2
113,High,Excellent,High,Medium,Better,Yes,21,Travel_Rarely,Human Resources,10,College,Human Resources,Male,1,Laboratory Technician,Single,53730,1,Y,12,1,1,2,1,0,0
114,Very High,Excellent,Very High,Very High,Better,No,29,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Female,2,Research Director,Single,66670,9,Y,12,1,6,6,3,1,2
115,High,Excellent,High,Medium,Better,No,35,Travel_Rarely,Research & Development,29,Bachelor,Life Sciences,Female,3,Sales Executive,Single,50030,9,Y,15,0,10,2,1,0,0
116,High,Excellent,Very High,Medium,Better,No,27,Travel_Rarely,Sales,2,Bachelor,Life Sciences,Male,1,Sales Executive,Divorced,23670,,Y,12,1,5,2,5,0,4
117,Medium,Excellent,Medium,Very High,Better,No,28,Travel_Rarely,Research & Development,2,College,Medical,Male,3,Manager,Single,28580,1,Y,12,0,7,2,7,0,7
118,High,Excellent,Medium,High,Better,No,49,Travel_Rarely,Sales,2,Bachelor,Technical Degree,Male,2,Manufacturing Director,Single,52040,8,Y,14,1,26,3,5,0,0
119,High,Outstanding,High,Very High,Good,No,51,Travel_Rarely,Research & Development,1,College,Life Sciences,Male,1,Sales Executive,Married,41050,4,Y,22,1,18,2,7,0,7
120,High,Excellent,Very High,High,Better,No,36,Travel_Rarely,Sales,15,College,Life Sciences,Male,1,Sales Executive,Married,96790,4,Y,12,0,6,1,2,2,2
121,High,Outstanding,Low,Very High,Good,Yes,34,Non-Travel,Research & Development,7,Bachelor,Life Sciences,Male,1,Sales Representative,Single,56170,8,Y,25,1,9,3,5,0,4
122,High,Excellent,High,Very High,Better,No,55,Travel_Rarely,Sales,26,Bachelor,Marketing,Male,1,Laboratory Technician,Single,104480,2,Y,13,0,30,3,5,1,2
123,High,Excellent,Very High,High,Best,No,24,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Female,5,Manager,Divorced,28970,1,Y,18,3,5,4,5,0,3
124,High,Excellent,High,Medium,Better,No,30,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,Female,2,Manager,Married,59680,1,Y,13,0,1,3,1,0,0
125,High,Excellent,High,,Better,Yes,26,Travel_Frequently,Sales,14,Bachelor,Life Sciences,Male,2,Manager,Single,75100,0,Y,18,3,7,3,6,0,4
126,Medium,Excellent,Low,Medium,Better,No,22,Travel_Rarely,Research & Development,16,Doctor,Other,Male,1,Research Scientist,Married,29910,1,Y,19,2,2,3,2,1,2
127,High,Excellent,Medium,High,Better,No,36,Travel_Rarely,Research & Development,1,Bachelor,Medical,Female,5,Healthcare Representative,Married,196360,1,Y,12,1,10,3,10,9,0
128,Medium,Excellent,High,Very High,Better,Yes,30,Travel_Frequently,Sales,3,College,Marketing,Male,3,Research Scientist,Single,11290,9,Y,19,0,3,2,1,0,0
129,High,Excellent,Very High,Low,Good,No,37,Travel_Rarely,Research & Development,10,Below College,Technical Degree,Male,1,Sales Executive,Divorced,133410,1,Y,14,1,18,3,18,12,17
130,Medium,Excellent,Very High,Medium,Better,No,40,Travel_Rarely,Research & Development,6,College,Medical,Male,3,Research Scientist,Divorced,43320,7,Y,14,2,8,3,5,1,3
131,Medium,Excellent,Medium,Low,Better,No,42,Travel_Rarely,Research & Development,2,Bachelor,Medical,Female,4,Manager,Divorced,110310,3,Y,12,1,8,2,5,1,2
132,Medium,Excellent,High,Medium,Good,No,37,Travel_Rarely,Sales,9,Below College,Marketing,Male,3,Sales Executive,Single,44400,2,Y,11,1,18,3,1,0,1
133,High,Excellent,Low,Medium,Better,No,43,Travel_Rarely,Sales,10,College,Life Sciences,Female,1,Sales Executive,Divorced,46170,1,Y,11,0,25,2,25,3,9
134,Medium,Excellent,Medium,High,Better,No,40,Travel_Rarely,Sales,6,College,Life Sciences,Female,1,Laboratory Technician,Married,26470,6,Y,13,0,20,2,1,0,0
135,Medium,Outstanding,Low,Low,Good,No,54,Travel_Rarely,Human Resources,9,Bachelor,Life Sciences,Female,2,Manufacturing Director,Married,63230,4,Y,23,1,24,2,4,1,2
136,High,Outstanding,High,High,Better,No,34,Non-Travel,Research & Development,28,Bachelor,Medical,Male,1,Laboratory Technician,Married,56770,9,Y,20,1,6,3,3,1,2
137,Medium,Excellent,Medium,Low,Bad,No,31,Travel_Rarely,Research & Development,10,Master,Life Sciences,Male,3,Sales Executive,Married,21870,1,Y,15,1,13,2,13,3,12
138,Medium,Excellent,Very High,Very High,Better,No,43,Travel_Frequently,Sales,14,Bachelor,Life Sciences,Female,1,Manufacturing Director,Married,37480,7,Y,14,2,,3,3,1,2
139,High,Excellent,High,High,Better,No,43,Travel_Rarely,Sales,27,Master,Life Sciences,Male,2,Sales Representative,Divorced,39770,4,Y,18,1,8,3,5,0,2
140,Very High,Excellent,Medium,Very High,Better,No,25,Travel_Rarely,Human Resources,7,College,Human Resources,Male,1,Manufacturing Director,Single,86330,1,Y,19,1,5,2,5,1,3
141,Medium,Outstanding,Medium,High,Better,No,37,Non-Travel,Research & Development,1,Bachelor,Medical,Male,3,Laboratory Technician,Married,20080,3,Y,22,0,15,5,13,10,7
142,High,Excellent,Very High,Low,Better,No,31,Travel_Rarely,Research & Development,24,Below College,Medical,Male,3,Laboratory Technician,Married,44400,1,Y,13,1,4,2,4,3,2
143,Low,Outstanding,Medium,High,Better,No,39,Travel_Frequently,Research & Development,26,Master,Technical Degree,Female,1,Sales Executive,Divorced,30670,1,Y,20,1,21,5,21,1,6
144,High,Excellent,High,Low,Good,No,56,Travel_Frequently,Research & Development,20,Master,Life Sciences,Female,3,Sales Executive,Married,53210,9,Y,14,0,36,1,7,7,7
145,High,Excellent,Medium,High,Better,No,30,Travel_Rarely,Sales,5,Master,Medical,Female,2,Manufacturing Director,Single,54100,0,Y,17,1,6,2,5,4,4
146,Medium,Excellent,Medium,Low,Better,No,41,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,Female,3,Research Scientist,Married,27820,1,Y,14,0,10,2,10,0,7
147,Medium,Excellent,High,Low,Better,No,28,Travel_Rarely,Research & Development,7,Bachelor,Medical,Male,3,Healthcare Representative,Divorced,119570,1,Y,13,0,10,2,10,1,8
148,High,Excellent,Low,Low,Better,Yes,25,Travel_Rarely,Research & Development,5,College,Life Sciences,Female,3,Laboratory Technician,Married,26600,5,Y,13,0,6,3,2,0,2
149,Medium,Outstanding,Very High,High,Better,No,52,Travel_Rarely,Research & Development,26,College,Life Sciences,Female,2,Sales Representative,Married,33750,2,Y,21,0,28,2,5,0,4
150,High,Excellent,Low,Very High,Good,No,45,Travel_Rarely,Research & Development,2,Bachelor,Medical,Female,1,Sales Executive,Married,50980,3,Y,14,1,8,4,2,0,2
151,High,Excellent,Very High,Very High,Bad,No,52,Travel_Rarely,Research & Development,12,Bachelor,Medical,Male,2,Research Scientist,Married,48780,2,Y,11,1,31,3,5,1,4
152,Medium,Excellent,Low,High,Better,No,42,Travel_Frequently,Sales,10,Bachelor,Marketing,Female,2,Healthcare Representative,Divorced,28370,2,Y,13,1,19,0,5,0,2
153,High,Outstanding,High,Very High,Better,No,30,Travel_Rarely,Sales,25,Bachelor,Marketing,Male,1,Sales Executive,Single,24060,2,Y,20,1,11,5,5,0,2
154,High,Excellent,Low,Low,Bad,No,60,Travel_Rarely,Research & Development,10,Bachelor,Life Sciences,Female,1,Manufacturing Director,Married,22690,5,Y,18,1,33,4,29,11,10
155,Medium,Excellent,High,High,Good,No,46,Travel_Rarely,Sales,19,Master,Marketing,Female,1,Sales Executive,Divorced,41080,2,Y,14,0,19,5,10,0,8
